nombre_region;codigo_region;nombre_comuna;codigo_comuna;lista;pacto;nombres;primer_apellido;votos;genero
Atacama;3;Vallenar;3301;A;POR CHILE, SEGUIMOS;NATHALIE ANDREA;MERY;1043;femenino
Atacama;3;Vallenar;3301;G;VERDES LIBERALES POR UNA COMUNA SEGURA;ROBERTO ALFREDO;TAPIA;3547;masculino
Atacama;3;Vallenar;3301;G;VERDES LIBERALES POR UNA COMUNA SEGURA;MAYCOL GERARDO;MANCILLA;998;masculino
Atacama;3;Vallenar;3301;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;ARTEMIO DEL TRANSITO;TRIGOS;2130;masculino
Atacama;3;Vallenar;3301;U;CHILE MUCHO MEJOR;ROBIN;ROBLEDO;2535;masculino
Atacama;3;Vallenar;3301;U;CHILE MUCHO MEJOR;DEISY;SAAVEDRA;2311;femenino
Coquimbo;4;Andacollo;4103;A;POR CHILE, SEGUIMOS;JAVIER ERNESTO;CIFUENTES;870;masculino
Coquimbo;4;Andacollo;4103;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;RENE ALEX;OLIVAREZ;569;masculino
Coquimbo;4;Andacollo;4103;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;ANA ALEJANDRA;JERALDO;366;femenino
Coquimbo;4;Andacollo;4103;R;CENTRO DEMOCRATICO;JOAQUIN ANTONIO;ZEPEDA;615;masculino
Coquimbo;4;Andacollo;4103;U;CHILE MUCHO MEJOR;CESAR;ROJAS;624;masculino
Coquimbo;4;Andacollo;4103;U;CHILE MUCHO MEJOR;LUIS;TOLEDO;843;masculino
Coquimbo;4;Canela;4202;A;POR CHILE, SEGUIMOS;HOMERO ADEMIR;CORTES;253;masculino
Coquimbo;4;Canela;4202;A;POR CHILE, SEGUIMOS;BERNARDO;LEYTON;1333;masculino
Coquimbo;4;Canela;4202;E;CHILE VAMOS UDI-EVOPOLI E INDEPENDIENTES;JUAN EDUARDO;AVALOS;489;masculino
Coquimbo;4;Canela;4202;R;CENTRO DEMOCRATICO;JUAN ELEODORO;CASTILLO;453;masculino
Coquimbo;4;Canela;4202;U;CHILE MUCHO MEJOR;NORMAN DE LA CRUZ;ARAYA;917;masculino
Coquimbo;4;Canela;4202;U;CHILE MUCHO MEJOR;EVELYN JACQUELINE;PEREIRA;738;femenino
Coquimbo;4;Combarbalá;4302;A;POR CHILE, SEGUIMOS;CLAUDIA PATRICIA;AVALOS;295;femenino
Coquimbo;4;Combarbalá;4302;I;CHILE VAMOS RENOVACIÓN NACIONAL - INDEPENDIENTES;YERKO ANTONIO;GOMEZ;445;masculino
